Volatility 3 Framework 2.26.2

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name
4	System	0xa00e82aef3e0	0xc4	Key	0xf003f	MACHINE\SYSTEM\RNG
4	System	0xa00e82ad72f0	0xc8	SymbolicLink	0xf0001	ACPI#FixedButton#2&daba3ff&0#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
4	System	0xa00e82af01b0	0xcc	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\WMI\SECURITY
4	System	0xa00e851a2090	0xd0	SymbolicLink	0xf0001	SCSI#CdRom&Ven_NECVMWar&Prod_VMware_SATA_CD01#5&260e6d66&0&010000#{53f56308-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xa00e82aefe80	0xd4	Key	0xf003f	MACHINE\SYSTEM\HARDWARECONFIG\{719A4D56-2C22-15EC-CBAB-6E9876158DC7}\PRODUCTIDS
4	System	0xa00e81d2d340	0xd8	Token	0xe	-
4	System	0xa00e851a1700	0xe4	SymbolicLink	0xf0001	SCSI#CdRom&Ven_NECVMWar&Prod_VMware_SATA_CD01#5&260e6d66&0&010000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xa00e851a1790	0xe8	SymbolicLink	0xf0001	ACPI#VMW0003#4&1bd7f811&0#{378de44c-56ef-11d1-bc8c-00a0c91405dd}
4	System	0xa00e851a1820	0xec	SymbolicLink	0xf0001	ACPI#PNP0303#4&1bd7f811&0#{884b96c3-56ef-11d1-bc8c-00a0c91405dd}
4	System	0xa00e851a07d0	0xf0	SymbolicLink	0xf0001	ROOT#UMBUS#0000#{65a9a6cf-64cd-480b-843e-32c86e1ba19f}
4	System	0xa00e8519b5d0	0xf4	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{ffbb6e3f-ccfe-4d84-90d9-421418b03a8e}
4	System	0xa00e8519bc00	0xf8	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{cf1dda2c-9743-11d0-a3ee-00a0c9223196}
4	System	0xa00e8519c1a0	0xfc	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{97ebaacb-95bd-11d0-a3ea-00a0c9223196}
4	System	0xa00e8519bd20	0x100	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{0a4252a0-7e70-11d0-a5d6-28db04c10000}
4	System	0xa00e8519c080	0x104	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{3c0d501a-140b-11d1-b40f-00a0c9223196}
4	System	0xa00e851a5460	0x108	Key	0x20000	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0127\SETTINGS
4	System	0xc90c06690280	0x10c	File	0x120089	\Device\HarddiskVolume3\Windows\System32\drivers\en-US\USBXHCI.SYS.mui
4	System	0xa00e851a6cc0	0x110	Key	0x20000	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0127
4	System	0xa00e8519c230	0x114	SymbolicLink	0xf0001	ACPI#GenuineIntel_-_Intel64_Family_6_Model_165_-_Intel(R)_Core(TM)_i7-10750H_CPU_@_2.60GHz#_1#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
4	System	0xa00e851a1550	0x118	SymbolicLink	0xf0001	ACPI#VMW0001#7#{3ff2c92b-6598-4e60-8e1c-0ccf4927e319}
4	System	0xa00e81c1b150	0x11c	Directory	0x1	Device
4	System	0xa00e8519bb70	0x120	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{4747b320-62ce-11cf-a5d6-28db04c10000}
4	System	0xc90c06055850	0x124	TmTm	0xf003f	-
4	System	0xc90c060d0730	0x128	TmRm	0x1f007f	-
4	System	0xc90c0668d760	0x12c	File	0x12019f	\Device\HarddiskVolume3\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000002.regtrans-ms
4	System	0xc90c0668f420	0x130	File	0x12019f	\Device\HarddiskVolume3\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000001.regtrans-ms
4	System	0xa00e85039e00	0x134	Section	0x17	-
4	System	0xc90c0668ecf0	0x138	File	0x12019f	\Device\HarddiskVolume3\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM.blf
4	System	0xa00e851edac0	0x13c	Section	0x17	-
4	System	0xc90c06164760	0x140	Event	0x1f0003	-
4	System	0xc90c061647e0	0x144	Event	0x1f0003	-
4	System	0xa00e82b0e5b0	0x148	Token	0xe	-
4	System	0xc90c07a0a080	0x14c	Thread	0x1fffff	Tid 540 Pid 4
4	System	0xc90c071e1b00	0x150	IoCompletion	0x1f0003	-
4	System	0xc90c06656890	0x154	File	0x3	\Device\HarddiskVolume3\Windows\System32\config\SYSTEM.LOG2
4	System	0xc90c0668b4e0	0x158	File	0x13008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Application.etl
4	System	0xa00e851b0610	0x15c	Key	0x20000	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0127
4	System	0xc90c0668cd50	0x160	File	0x13008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl
4	System	0xc90c0668bef0	0x164	File	0x13008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderAuditLogger.etl
4	System	0xc90c0668bd80	0x168	File	0x13008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderApiLogger.etl
4	System	0xc90c0668bc10	0x16c	File	0x13008b	\Device\HarddiskVolume3
4	System	0xc90c03f6a040	0x178	Thread	0x1fffff	Tid 240 Pid 4
4	System	0xa00e82c1d9b0	0x18c	SymbolicLink	0xf0001	ROOT#vdrvroot#0000#{2e34d650-5819-42ca-84ae-d30803bae505}
4	System	0xa00e82c1efa0	0x190	SymbolicLink	0xf0001	ROOT#spaceport#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xc90c036744a0	0x194	ALPC Port	0x1f0001	PdcPort
4	System	0xc90c03675040	0x1ac	Thread	0x1fffff	Tid 232 Pid 4
4	System	0xa00e82c1e190	0x1b0	SymbolicLink	0xf0001	ROOT#spaceport#0000#{ef66a56f-88d1-4cd8-98c4-49faf57ad8af}
4	System	0xa00e82c1ea00	0x1b4	SymbolicLink	0xf0001	ROOT#volmgr#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xc90c03f69080	0x1bc	Thread	0x1fffff	Tid 236 Pid 4
4	System	0xc90c0609c500	0x224	Thread	0x1fffff	Tid 260 Pid 4
4	System	0xa00e82cf8b20	0x22c	SymbolicLink	0xf0001	STORAGE#Volume#{eb840ce0-3a4c-11ef-b9c1-806e6f6e6963}#0000000000100000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xa00e82cf8850	0x230	SymbolicLink	0xf0001	STORAGE#Volume#{eb840ce0-3a4c-11ef-b9c1-806e6f6e6963}#0000000006500000#{7f108a28-9833-4b3b-b780-2c6b5fa5c062}
4	System	0xa00e82cf8730	0x234	SymbolicLink	0xf0001	STORAGE#Volume#{eb840ce0-3a4c-11ef-b9c1-806e6f6e6963}#0000000007500000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xa00e82cf8460	0x238	SymbolicLink	0xf0001	STORAGE#Volume#{eb840ce0-3a4c-11ef-b9c1-806e6f6e6963}#0000000EDEC00000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xa00e82c1e580	0x23c	SymbolicLink	0xf0001	PCI#VEN_15AD&DEV_07F0&SUBSYS_07F015AD&REV_00#4&3b50545d&0&00B8#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
4	System	0xa00e81ceeae0	0x248	Directory	0xf000f	Harddisk0
4	System	0xa00e82c9d2d0	0x24c	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0xc90c06466b60	0x250	TmTm	0xf003f	-
4	System	0xc90c06465c60	0x254	TmRm	0x1f007f	-
4	System	0xc90c03f9e580	0x258	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionControlPortWD
4	System	0xc90c06467050	0x25c	TmRm	0x1f007f	-
4	System	0xc90c03f9e630	0x260	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionPortWD
4	System	0xc90c03f9e6e0	0x268	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionRemoteIoPortWD
4	System	0xc90c03f9f3f0	0x26c	FilterConnectionPort	0x1f0001	MicrosoftMalwareProtectionAsyncPortWD
4	System	0xa00e82a39bd0	0x270	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0xa00e82c9c500	0x274	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\POLICIES
4	System	0xc90c0345b040	0x278	Process	0x1440	System Pid 4
4	System	0xa00e81c8c6a0	0x27c	Token	0xf01ff	-
4	System	0xa00e82c9f910	0x284	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\PROVIDERORDER
4	System	0xa00e82a39450	0x288	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\SERVICES\MUP
4	System	0xc90c0609a500	0x28c	Thread	0x1fffff	Tid 264 Pid 4
4	System	0xa00e82a39540	0x290	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\IORATE
4	System	0xa00e82d03180	0x294	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT
4	System	0xa00e82cf75c0	0x29c	SymbolicLink	0xf0001	SCSI#Disk&Ven_NVMe&Prod_VMware_Virtual_N#5&25a13950&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}
4	System	0xc90c071e8b60	0x2a0	Event	0x1f0003	-
4	System	0xc90c0668a680	0x2a4	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RadioMgr.etl
4	System	0xc90c060d9d60	0x2a8	File	0x12019f	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
4	System	0xc90c060e5050	0x2ac	TmRm	0x1f007f	-
4	System	0xc90c060d8d90	0x2b0	File	0x12019f	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
4	System	0xc90c060ac4c0	0x2b4	File	0x12019f	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
4	System	0xc90c060d9350	0x2b8	File	0x13019f	\Device\clfs\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xc90c060d97a0	0x2bc	File	0x12019f	\Device\clfsTxfLog
4	System	0xc90c060d9bf0	0x2c0	File	0x1	\Device\HarddiskVolume3\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
4	System	0xc90c060f67b0	0x2c4	File	0x12019f	\Device\clfs\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xc90c060f6640	0x2c8	File	0x13019f	\Device\clfs\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xc90c060f7bd0	0x2cc	File	0x12019f	\Device\clfsKtmLog
4	System	0xc90c060cabf0	0x2d0	TmTm	0xf003f	-
4	System	0xc90c0666d300	0x2d4	TmRm	0x1f007f	-
4	System	0xc90c060e5a20	0x2dc	TmRm	0x12007f	-
4	System	0xc90c071eaa60	0x2e0	Event	0x1f0003	-
4	System	0xc90c0668c340	0x2e4	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\NtfsLog.etl
4	System	0xc90c0a188b80	0x2e8	ALPC Port	0x1f0001	-
4	System	0xc90c06656700	0x2ec	File	0x20003	\Device\HarddiskVolume3\Windows\System32\config\SYSTEM
4	System	0xc90c067d8560	0x2f0	Event	0x1f0003	-
4	System	0xc90c06143070	0x2f8	ALPC Port	0x1f0001	SeRmCommandPort
4	System	0xa00e82cfa4f0	0x2fc	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xa00e82f5a280	0x300	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xa00e81cd0920	0x304	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\HVSI
4	System	0xa00e82989ce0	0x308	Directory	0xf000f	cimfs
4	System	0xa00e82f5b900	0x30c	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xa00e82f5a730	0x314	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER
4	System	0xa00e8519be40	0x318	SymbolicLink	0xf0001	ROOT#SYSTEM#0000#{53172480-4791-11d0-a5d6-28db04c10000}
4	System	0xa00e82aef820	0x31c	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\VWIFIFLT\STATE\PARAMETERS\VWIFISETTINGS
4	System	0xa00e851af840	0x320	Key	0x10	MACHINE\SOFTWARE\POLICIES\MICROSOFT\WINDOWS
4	System	0xa00e82d063c0	0x324	Section	0x6	-
4	System	0xc90c06148040	0x328	Process	0x102a	smss.exe Pid 300
4	System	0xa00e82cf92e0	0x32c	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\SERVICES\DFSC\PARAMETERS
4	System	0xa00e82cf9830	0x330	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xa00e82cfa0b0	0x334	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
4	System	0xc90c065fe190	0x338	File	0x120116	\Device\Mup
4	System	0xa00e82cfcd50	0x33c	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\SERVICES\SWENUM\NOTIFY
4	System	0xc90c06611770	0x344	TmTm	0xf003f	-
4	System	0xa00e82bfb5f0	0x348	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\BAM\STATE\USERSETTINGS
4	System	0xa00e82f5abe0	0x34c	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xc90c06657b50	0x350	File	0x12019f	\Device\HarddiskVolume3\Windows\bootstat.dat
4	System	0xc90c0610f040	0x354	Thread	0x1fffff	Tid 288 Pid 4
4	System	0xc90c061f36a0	0x358	File	0x12019f	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
4	System	0xa00e82d02a00	0x35c	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0xa00e82bfa0b0	0x360	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{D73E01AC-F5A0-4D80-928B-33C1920C38BA}
4	System	0xa00e82bfbe70	0x364	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{59AEE675-B203-4D61-9A1F-04518A20F359}
4	System	0xa00e82bfa3e0	0x368	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{FB9F5B62-B48B-45F5-8586-E514958C92E2}
4	System	0xa00e82bfa600	0x36c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\{7746D80F-97E0-4E26-9543-26B41FC22F79}\{221601AB-48C7-4970-B0EC-96E66F578407}
4	System	0xa00e82f5a370	0x370	Key	0x11	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
4	System	0xc90c06148040	0x374	Process	0x102a	smss.exe Pid 300
4	System	0xc90c06148040	0x378	Process	0x1fffff	smss.exe Pid 300
4	System	0xa00e866394f0	0x380	Key	0x11	MACHINE\SYSTEM\CONTROLSET001\CONTROL\KERNELVELOCITY
4	System	0xc90c06148040	0x384	Process	0x102a	smss.exe Pid 300
4	System	0xa00e81c35b50	0x388	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL
4	System	0xc90c061f33c0	0x38c	File	0x12019f	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
4	System	0xc90c06164fe0	0x390	Event	0x1f0003	-
4	System	0xc90c061f3dd0	0x394	File	0x12019f	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
4	System	0xc90c061f0a10	0x398	File	0x13019f	\Device\clfs\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xc90c061f2280	0x39c	File	0x12019f	\Device\clfsTxfLog
4	System	0xc90c061f2560	0x3a0	File	0x1	\Device\HarddiskVolume4\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
4	System	0xc90c0668a3a0	0x3a4	File	0x12019f	\Device\clfs\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xc90c0668a7f0	0x3a8	File	0x13019f	\Device\clfs\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0xc90c0668a510	0x3ac	File	0x12019f	\Device\clfsKtmLog
4	System	0xc90c0666caf0	0x3b0	TmRm	0x12007f	-
4	System	0xc90c0668ac40	0x3b4	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\WDI\LogFiles\WdiContextLog.etl.003
4	System	0xc90c0668b650	0x3b8	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\NetCore.etl
4	System	0xc90c084e2940	0x3bc	File	0x13008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagtrack-Listener.etl
4	System	0xc90c0668cbe0	0x3c0	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\Microsoft-Windows-Rdp-Graphics-RdpIdd-Trace.etl
4	System	0xc90c0668a960	0x3c4	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\LwtNetLog.etl
4	System	0xc90c0668c1d0	0x3c8	File	0x12008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\Wifi.etl
4	System	0xc90c06656bb0	0x3cc	File	0x3	\Device\HarddiskVolume3\Windows\System32\config\SYSTEM.LOG1
4	System	0xc90c0668b090	0x3d0	File	0x13008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl
4	System	0xc90c0668baa0	0x3d4	File	0x13008b	\Device\HarddiskVolume3\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl
4	System	0xa00e8519b660	0x3d8	SymbolicLink	0xf0001	ACPI#GenuineIntel_-_Intel64_Family_6_Model_165_-_Intel(R)_Core(TM)_i7-10750H_CPU_@_2.60GHz#_0#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
4	System	0xc90c06657ce0	0x3dc	File	0x20003	\Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD
4	System	0xa00e8519b300	0x3e0	SymbolicLink	0xf0001	ACPI#GenuineIntel_-_Intel64_Family_6_Model_165_-_Intel(R)_Core(TM)_i7-10750H_CPU_@_2.60GHz#_1#{97fadb10-4e33-40ae-359c-8bef029dbdd0}
4	System	0xa00e81c1b150	0x3e4	Directory	0x1	Device
4	System	0xc90c06657e70	0x3e8	File	0x3	\Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD.LOG
4	System	0xc90c0629e090	0x3ec	TmRm	0x1f007f	-
4	System	0xc90c0668dbb0	0x3f0	File	0x12019f	\Device\clfs\SystemRoot\System32\Config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM
4	System	0xc90c0668dd20	0x3f4	File	0x12019f	\Device\clfs
4	System	0xa00e851a0c50	0x3f8	SymbolicLink	0xf0001	PCI#VEN_15AD&DEV_0774&SUBSYS_197615AD&REV_00#4&bbf9765&0&0088#{3abf6f2d-71c4-462a-8a92-1e6861e6af27}
4	System	0xa00e8519bc90	0x3fc	SymbolicLink	0xf0001	PCI#VEN_15AD&DEV_0770&SUBSYS_077015AD&REV_00#4&bbf9765&0&1088#{3abf6f2d-71c4-462a-8a92-1e6861e6af27}
4	System	0xa00e8519b810	0x404	SymbolicLink	0xf0001	PCI#VEN_15AD&DEV_077A&SUBSYS_077A15AD&REV_00#4&1ee266c4&0&00B0#{3abf6f2d-71c4-462a-8a92-1e6861e6af27}
4	System	0xc90c071ecd60	0x408	Event	0x1f0003	-
4	System	0xa00e8519ce00	0x40c	SymbolicLink	0xf0001	USB#ROOT_HUB20#5&36a4b5d6&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8}
4	System	0xa00e8519c2c0	0x410	SymbolicLink	0xf0001	USB#ROOT_HUB#5&2891968b&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8}
4	System	0xc90c070af140	0x414	Process	0x1fffff	csrss.exe Pid 416
4	System	0xc90c069fb520	0x418	File	0x3	\Device\HarddiskVolume3\Windows\System32\config\DEFAULT.LOG2
4	System	0xa00e851b32b0	0x41c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\INITVERBS
4	System	0xa00e851afb70	0x420	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\AUDIO\HDAUDIOFLAGS
4	System	0xc90c060d72e0	0x424	Event	0x1f0003	-
4	System	0xc90c06656250	0x428	File	0x3	\Device\HarddiskVolume3\Windows\System32\config\SOFTWARE.LOG1
4	System	0xa00e851b3090	0x42c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xa00e851b23d0	0x430	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\DEFAULTVOLUMELEVELS
4	System	0xa00e82cfc6f0	0x434	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xa00e82cfcc40	0x438	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\DEFAULTVOLUMELEVELS
4	System	0xa00e82af05f0	0x444	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
4	System	0xa00e851b33c0	0x44c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
